uf;ibge;municipio;2021;2020;nome_teste;2019;teste
SP;3503356;Arco-Íris;1755;1773;Arco-Íris;1791;certo
MG;3104205;Arcos;40658;40380;Arcos;40092;certo
PE;2601201;Arcoverde;75295;74822;Arcoverde;74338;certo
MG;3104304;Areado;15288;15181;Areado;15070;certo
RJ;3300225;Areal;12763;12669;Areal;12572;certo
SP;3503406;Arealva;8665;8613;Arealva;8560;certo
PB;2501104;Areia;22493;22656;Areia;22819;certo
RN;2401107;Areia Branca;28156;27967;Areia Branca;27774;certo
SE;2800506;Areia Branca;18825;18686;Areia Branca;18542;certo
PB;2501153;Areia de Baraúnas;2105;2116;Areia de Baraúnas;2128;certo
PB;2501203;Areial;7054;7027;Areial;6998;certo
SP;3503505;Areias;3906;3896;Areias;3886;certo
SP;3503604;Areiópolis;11186;11158;Areiópolis;11129;certo
MT;5101308;Arenápolis;9399;9502;Arenápolis;9607;certo
GO;5202353;Arenópolis;2462;2536;Arenópolis;2612;certo
RN;2401206;Arês;14526;14417;Arês;14306;certo
MG;3104403;Argirita;2681;2704;Argirita;2727;certo
MG;3104452;Aricanduva;5305;5269;Aricanduva;5231;certo
MG;3104502;Arinos;17850;17862;Arinos;17875;certo
MT;5101407;Aripuanã;23067;22714;Aripuanã;22354;certo
RO;1100023;Ariquemes;111148;109523;Ariquemes;107863;certo
SP;3503703;Ariranha;9851;9761;Ariranha;9668;certo
PR;4101853;Ariranha do Ivaí;2026;2066;Ariranha do Ivaí;2108;certo
RJ;3300233;Armação dos Búzios;35060;34477;Armação dos Búzios;40532;certo
SC;4201505;Armazém;8843;8759;Armazém;8674;certo
CE;2301505;Arneiroz;7848;7844;Arneiroz;7840;certo
PI;2200905;Aroazes;5819;5827;Aroazes;5835;certo
PB;2501302;Aroeiras;19081;19116;Aroeiras;19153;certo
PI;2200954;Aroeiras do Itaim;2551;2551;Aroeiras do Itaim;2551;certo
PI;2201002;Arraial;4713;4720;Arraial;4727;certo
RJ;3300258;Arraial do Cabo;30827;30593;Arraial do Cabo;30349;certo
TO;1702406;Arraias;10502;10534;Arraias;10567;certo
RS;4301008;Arroio do Meio;21121;20967;Arroio do Meio;20805;certo
RS;4301073;Arroio do Padre;2966;2951;Arroio do Padre;2937;certo
RS;4301057;Arroio do Sal;10483;10279;Arroio do Sal;10065;certo
RS;4301206;Arroio do Tigre;13452;13413;Arroio do Tigre;13373;certo
RS;4301107;Arroio dos Ratos;14201;14177;Arroio dos Ratos;14151;certo
RS;4301305;Arroio Grande;18185;18238;Arroio Grande;18293;certo
SC;4201604;Arroio Trinta;3547;3549;Arroio Trinta;3550;certo
SP;3503802;Artur Nogueira;56247;55340;Artur Nogueira;54408;certo
GO;5202502;Aruanã;10340;10110;Aruanã;9875;certo
SP;3503901;Arujá;92453;91157;Arujá;89824;certo
SC;4201653;Arvoredo;2228;2234;Arvoredo;2240;certo
RS;4301404;Arvorezinha;10422;10423;Arvorezinha;10424;certo
SC;4201703;Ascurra;8021;7978;Ascurra;7934;certo
SP;3503950;Aspásia;1815;1818;Aspásia;1822;certo
PR;4101903;Assaí;14792;14954;Assaí;15119;certo
CE;2301604;Assaré;23537;23478;Assaré;23417;certo
SP;3504008;Assis;105768;105087;Assis;104386;certo
AC;1200054;Assis Brasil;7649;7534;Assis Brasil;7417;certo
PR;4102000;Assis Chateaubriand;33306;33340;Assis Chateaubriand;33362;certo
PB;2501351;Assunção;4067;4029;Assunção;3990;certo
PI;2201051;Assunção do Piauí;7879;7863;Assunção do Piauí;7846;certo
MG;3104601;Astolfo Dutra;14358;14270;Astolfo Dutra;14179;certo
PR;4102109;Astorga;26304;26209;Astorga;26111;certo
